File,Câu,Câu hỏi,A,B,C,D,Đáp án,Trạng thái
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,18,Ứng dụng tri thức được định nghĩa chính xác nhất là gì?,"Bill Gates, CEO của Microsoft, cùng với đổi mới sản phẩm và quản lý công nghệ.","Jeff Bezos, CEO của Amazon, cùng với quản trị chuỗi cung ứng và tối ưu hóa logistics.","Jack Welch, CEO của General Electric, cùng với phân bổ nguồn lực và phát triển con người. ","Steve Jobs, CEO của Apple, cùng với thiết kế sáng tạo và trải nghiệm khách hàng.",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,22,"Khi chia sẻ tri thức hiện, cơ chế nào được coi là thích hợp nhất?","Hệ chuyên gia, hệ hỗ trợ ra quyết định và các công cụ khắc phục sự cố. ","Hệ thống ERP, hệ thống thông tin quản lý và các chuẩn mực ngành công nghiệp.","Các kho dữ liệu, hệ thống nhóm trực tuyến và bộ sưu tập thực hành tốt nhất.","Các công cụ khai phá dữ liệu, hệ thống phân tích thống kê và mô hình dự báo.",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,26,Sự khám phá tri thức hiện mới phụ thuộc trực tiếp nhất vào cơ chế nào?,Quá trình tái sử dụng tri thức hiện có thông qua việc áp dụng lại các quy trình và mô hình cũ.,Quá trình lưu giữ tri thức quan trọng của tổ chức thông qua việc chuẩn hóa quy trình và thủ tục quản lý.,"Quá trình phát triển tri thức ẩn hoặc tri thức hiện mới từ dữ liệu, thông tin hoặc từ sự tổng hợp tri thức trước đó. ",Quá trình chuyển đổi tri thức ẩn thành tri thức hiện để làm cho nó dễ dàng truyền đạt hơn trong tổ chức.,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,30,Một minh họa điển hình của quá trình nội hóa là gì?,Việc chuyển đổi tri thức hiện thành tri thức ẩn thông qua quá trình học tập cá nhân.,Việc truyền đạt trực tiếp tri thức ẩn thông qua quan sát và trải nghiệm thực tế.,"Việc áp dụng các quy trình, chính sách, thủ tục hoặc chuẩn mực đã được tổ chức xây dựng. ",Việc tổng hợp dữ liệu định lượng từ nhiều nguồn để tạo thành tri thức hiện mới.,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,33,Ví dụ nào minh họa rõ nhất cho cơ chế thủ tục trong ứng dụng tri thức?,"Xã hội hóa, vì nó cho phép chia sẻ kinh nghiệm và hiểu biết không được ghi chép chính thức. ","Ngoại hóa, vì nó chuyển đổi tri thức ẩn thành tri thức hiện để phổ biến rộng rãi.","Nội hóa, vì nó biến tri thức hiện thành tri thức ẩn thông qua học tập và trải nghiệm cá nhân.","Trao đổi, vì nó dựa vào tài liệu chính thức và kho dữ liệu để truyền đạt thông tin.",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,36,"Trong bốn quá trình quản trị tri thức (khám phá, nắm bắt, chia sẻ, ứng dụng), tình huống nào minh họa rõ nhất sự gắn kết tổng hợp","Kết hợp, vì tri thức hiện từ nhiều nguồn được tổng hợp thành chương trình đào tạo mới.","Nội hóa, vì tri thức hiện được chuyển thành tri thức ẩn thông qua học tập và trải nghiệm. ","Xã hội hóa, vì nhân viên học hỏi thông qua quan sát trực tiếp trong quá trình làm việc.","Ngoại hóa, vì tri thức ẩn được biến thành tri thức hiện dưới dạng tài liệu đào tạo.",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,40,Chia sẻ tri thức được định nghĩa chính xác nhất là gì?,Sự đo lường tri thức thông qua đánh giá hiệu quả sử dụng công nghệ tri thức.,Sự chuẩn hóa tri thức thông qua các hệ thống thông tin chính thức của tổ chức.,Sự tích hợp tri thức thông qua các chương trình đào tạo và huấn luyện tập trung.,Sự chuyển đổi tri thức thông qua tương tác giữa tri thức ẩn và tri thức hiện. ,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,44,Điểm khác biệt cơ bản giữa cơ chế định hướng và cơ chế thủ tục trong ứng dụng tri thức là gì?,"Khám phá tri thức, vì tri thức mới được hình thành thông qua tổng hợp nhiều nguồn dữ liệu.","Chia sẻ tri thức, vì tri thức được lan truyền từ một cá nhân sang nhiều đối tượng khác nhau.","Ứng dụng tri thức, vì tri thức đã có sẵn được đưa vào sử dụng để cải thiện hoạt động.","Nắm bắt tri thức, vì tri thức được lấy từ một thực thể bên ngoài và chuyển vào tổ chức. ",,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,48,"Trong chia sẻ tri thức, nếu cần truyền đạt đồng thời tri thức ẩn và tri thức hiện, giải pháp nào phù hợp nhất?",Giúp tăng cường hiệu quả sử dụng các tài liệu hiện có mà không cần sáng tạo tri thức mới.,Giúp truyền đạt kinh nghiệm giữa các cá nhân trong cùng một nhóm làm việc.,Giúp phát hiện các mối quan hệ mới trong dữ liệu và tạo ra các mô hình dự báo hoặc phân loại. ,Giúp tái cấu trúc tri thức ẩn thành tri thức hiện để lưu trữ lâu dài.,,Đúng
Chapter 4 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,50,Khám phá tri thức ẩn mới diễn ra chủ yếu thông qua cơ chế nào?,Vì tri thức ẩn chỉ tồn tại ở cấp độ tổ chức chứ không liên quan đến cá nhân.,Vì tri thức ẩn thường khó truy xuất trực tiếp và dễ mất đi khi nhân sự rời bỏ tổ chức. ,Vì tri thức ẩn luôn được ghi chép chi tiết và dễ dàng truy cập trong tài liệu nội bộ.,Vì tri thức ẩn có thể được lưu trữ tự động bằng hệ thống công nghệ thông tin. ◄ KM_Slides_Ch04 Chuyển tới... Slides - Nhóm 6 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,2,"Trong Bảng 4.1, cơ chế “brainstorming retreats” thường gắn liền nhất với quá trình quản trị tri thức nào?","Công cụ groupware, vì có thể hỗ trợ chia sẻ tri thức hiện qua các tài liệu trực tuyến và báo cáo.","Cơ sở dữ liệu web, vì có thể lưu trữ thông tin và cung cấp tri thức hiện cho nhiều phòng ban khác nhau.","Cộng đồng thực hành, vì có thể giúp nhân viên trao đổi kinh nghiệm và đồng thời tạo ra tri thức ẩn mới.","Hệ chuyên gia, vì có thể tích hợp tri thức của chuyên gia vào cả quá trình hỗ trợ quyết định lẫn quy trình vận hành chuẩn. ",,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,5,Tại sao việc xây dựng một danh mục giải pháp KM bổ sung lẫn nhau lại được coi là cần thiết đối với tổ chức?,"Hướng dẫn được triển khai thông qua xã hội hóa, còn thủ tục được triển khai thông qua trao đổi.","Hướng dẫn tập trung vào tri thức ẩn, còn thủ tục tập trung vào tri thức hiện để chuẩn hóa thành tài liệu.","Hướng dẫn chỉ áp dụng ở cấp cá nhân, còn thủ tục chủ yếu triển khai ở cấp liên tổ chức.","Hướng dẫn dựa vào chỉ dẫn từ người khác hoặc hệ thống hỗ trợ, trong khi thủ tục dựa vào chính sách, quy trình và chuẩn mực tổ chức. ",,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,9,"Theo Bảng 4.1, cơ chế “on-the-job training” thường liên quan trực tiếp đến:",Đều hướng đến việc thay thế hoàn toàn tương tác con người bằng công nghệ thông minh.,Đều tập trung vào chuẩn hóa dữ liệu định lượng và lưu giữ chúng trong kho dữ liệu chung.,"Đều nhằm bảo đảm tri thức, dù là ẩn hay hiện, được truyền đạt hiệu quả để người nhận có thể hiểu và hành động dựa trên nó. ",Đều chỉ phục vụ mục đích quản lý tài chính và vận hành các quy trình hành chính.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,13,Các cơ sở hạ tầng nào thường được đề cập cùng với văn hóa tổ chức và cấu trúc tổ chức?,Sự tham gia của lãnh đạo cấp cao trong việc thiết lập tầm nhìn và chiến lược KM dài hạn. ,Việc loại bỏ tri thức ẩn ra khỏi quy trình để tập trung hoàn toàn vào tri thức hiện.,Việc sử dụng hệ thống ERP và MIS để chuẩn hóa toàn bộ dữ liệu tài chính và hoạt động.,Sự thay thế hoàn toàn các quy trình thủ công bằng trí tuệ nhân tạo.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,17,Sự khác biệt chính giữa cơ chế hướng dẫn và cơ chế thủ tục trong ứng dụng tri thức là gì?,Chuyển đổi tri thức hiện thành tri thức ẩn để áp dụng trong trải nghiệm cá nhân. ,Truyền đạt tri thức ẩn giữa các cá nhân thông qua giao tiếp trực tiếp và quan sát.,"Chuyển đổi tri thức ẩn thành tri thức hiện để có thể được ghi lại, lưu trữ và chia sẻ.",Tổng hợp tri thức hiện từ nhiều nguồn để hình thành tri thức hiện phức tạp hơn.,,Sai
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,20,"Trong hệ thống chia sẻ tri thức, công nghệ “expertise locator systems” chủ yếu được dùng để:",Một nhân viên áp dụng quy trình chuẩn ISO đã được ban hành để kiểm soát chất lượng sản phẩm.,Một nhóm quản lý sử dụng best practices ngành để thiết kế lại quy trình cung ứng dịch vụ.,Một kỹ sư hiện trường sử dụng hệ chuyên gia để chẩn đoán sự cố thiết bị mà không cần tự học toàn bộ kiến thức chuyên môn. ,Một tổ chức triển khai ERP để tích hợp quy trình tài chính và hậu cần trong toàn bộ doanh nghiệp.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,23,Một tập đoàn sản xuất đa quốc gia muốn tận dụng hệ thống nắm bắt tri thức để khai thác sáng kiến từ nhà cung cấp. Bước đi nào,"Hệ thống loại bỏ nhu cầu sử dụng công nghệ, còn cơ chế tập trung vào quản lý thủ công.","Hệ thống chỉ tập trung vào tri thức ẩn, còn cơ chế và công nghệ chỉ xử lý tri thức hiện.","Hệ thống kết hợp nhiều cơ chế và công nghệ, trong khi mỗi cơ chế hoặc công nghệ chỉ hoạt động đơn lẻ. ","Hệ thống hoạt động hoàn toàn độc lập với các cơ chế, trong khi công nghệ phải phụ thuộc vào cơ chế.",,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,27,Một đặc điểm nổi bật của hệ thống nắm bắt tri thức là khả năng gì?,Videoconferencing để khách hàng và nhân viên trao đổi trực tiếp về lỗi giao dịch.,Data mining để phát hiện các mẫu dữ liệu bất thường trong giao dịch tài chính.,Groupware và best practices để phổ biến quy trình xử lý chuẩn cho toàn bộ nhân viên. ,Case-based reasoning để hệ thống tự động gợi ý giải pháp dựa trên các tình huống cũ.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,31,"Trong ngữ cảnh hệ thống khám phá tri thức, điểm chung của việc tạo ra tri thức mới từ dữ liệu và từ xã hội hóa là gì?","Xã hội hóa, vì nó giúp tổng hợp tri thức ẩn thành tri thức mới và truyền đạt giữa các cá nhân. ","Nội hóa, vì nó chủ yếu biến đổi tri thức hiện thành kỹ năng ẩn của từng cá nhân.","Ngoại hóa, vì nó tập trung vào biến tri thức ẩn thành tri thức hiện để lưu trữ.","Trao đổi, vì nó chỉ truyền đạt tri thức hiện thông qua tài liệu chính thức và cơ sở dữ liệu.",,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,34,Một bệnh viện triển khai song song hệ thống nắm bắt tri thức và hệ thống chia sẻ tri thức. Hiệu quả quan trọng nhất có thể đạt được,Nhờ nhúng các thủ tục ra quyết định vào hệ thống tự động và khai thác hiệu quả thông tin trực tuyến. ,Nhờ phát triển quan hệ đối tác độc quyền với các ngân hàng lớn để hỗ trợ thẩm định hồ sơ.,Nhờ giảm thiểu tiêu chuẩn tín dụng và chấp nhận rủi ro cao để thu hút nhiều khách hàng.,Nhờ tuyển dụng đội ngũ nhân viên có kinh nghiệm lâu năm trong ngành tài chính truyền thống.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,38,Lợi ích chiến lược lớn nhất của việc triển khai hệ thống ứng dụng tri thức trong tổ chức là gì?,Vì nó đảm bảo toàn bộ dữ liệu có sẵn được chuẩn hóa thành các mô hình tri thức hiện.,Vì nó cho phép tích hợp tri thức ẩn từ nhiều cá nhân để tạo ra tri thức ẩn mới thông qua hoạt động chung. ,Vì nó là phương thức duy nhất có thể biến đổi tri thức hiện thành tri thức ẩn trong tổ chức.,Vì nó thay thế hoàn toàn nhu cầu sử dụng công nghệ trong việc tạo ra tri thức mới.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,41,Vai trò của lãnh đạo cấp cao trong quản lý giải pháp KM chủ yếu là gì?,Triển khai trí tuệ nhân tạo để tự động hóa toàn bộ hoạt động giao nhận hàng hóa.,"Tổ chức diễn đàn trực tuyến nơi nhân viên vừa thảo luận kinh nghiệm, vừa chia sẻ báo cáo chuẩn. ",Phân tích dữ liệu khách hàng để phát triển mô hình dự báo nhu cầu tiêu dùng.,Sử dụng ERP để lưu giữ dữ liệu tài chính và tích hợp quy trình kế toán trên toàn cầu.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,44,Một công ty tư vấn và triển khai các giải pháp về IT áp dụng đồng thời cả hệ thống nắm bắt tri thức và hệ thống ứng dụng tri thức,Chỉ áp dụng cho một quá trình duy nhất để tránh sự chồng chéo và dư thừa.,Hỗ trợ nhiều quá trình KM khác nhau tùy theo cách thức triển khai và ngữ cảnh. ,Hoạt động độc lập mà không cần phối hợp với cơ chế quản trị tri thức.,Được phân loại hoàn toàn dựa trên tiêu chí là tri thức ẩn hay tri thức hiện.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,48,Cơ chế “apprenticeships” trong Bảng 4.1 phản ánh rõ nhất đặc điểm nào của quản trị tri thức?,Vì sự phối hợp này chỉ ra rằng tri thức ẩn và tri thức hiện có thể được quản lý tách biệt hoàn toàn.,Vì sự phối hợp này đảm bảo mỗi cơ chế chỉ phục vụ cho một quá trình KM duy nhất.,"Vì sự phối hợp này cho thấy cách tri thức được tạo ra, lưu giữ, chia sẻ và áp dụng thông qua công cụ cụ thể. ",Vì sự phối hợp này loại bỏ nhu cầu tham gia của con người trong toàn bộ hệ thống.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,51,"Trong hệ thống chia sẻ tri thức, xã hội hóa (socialization) khác với trao đổi (exchange) ở điểm nào?","Chia sẻ tri thức, vì nó cho phép lan truyền kinh nghiệm tích lũy và các bài học rút ra. ","Nắm bắt tri thức, vì nó biến đổi tri thức ẩn thành tri thức hiện để lưu trữ.","Khám phá tri thức, vì nó tổng hợp dữ liệu hiện thành tri thức hiện mới.","Ứng dụng tri thức, vì nó cho phép nhân viên làm theo thủ tục được quy định sẵn.",,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,55,Hệ thống khám phá tri thức khác biệt cơ bản với hệ thống nắm bắt tri thức ở điểm nào?,Luôn cần kết hợp với ít nhất hai công nghệ khác để đảm bảo tính khả thi.,Chỉ được sử dụng trong một hệ thống duy nhất và không thể tái áp dụng cho mục đích khác.,Hỗ trợ nhiều hệ thống quản trị tri thức khác nhau tùy thuộc vào hoàn cảnh sử dụng. ,Được áp dụng chủ yếu cho quản lý dữ liệu tài chính và báo cáo định kỳ.,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,59,Các công nghệ nào được xem là công cụ quan trọng để hỗ trợ trao đổi tri thức trong hệ thống chia sẻ tri thức?,Quy mô tổ chức và số lượng tri thức được xử lý hàng ngày.,Mức độ hiện đại của công nghệ thông tin được tích hợp vào hệ thống.,Quá trình quản trị tri thức được hệ thống đó trực tiếp hỗ trợ nhiều nhất. ,Loại hình dữ liệu mà hệ thống được thiết kế để lưu trữ và phân tích. Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app,,Đúng
Chapter 4 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,60,"Trong trường hợp DeepGreen Financial, nếu công ty chỉ tập trung vào giảm lãi suất thay vì tự động hóa tri thức, điều gì có khả năng",Khả năng xử lý hồ sơ tăng mạnh nhờ tận dụng đội ngũ nhân viên giàu kinh nghiệm.,Công nghệ ERP trở thành nền tảng chính để kiểm soát toàn bộ giao dịch tài chính.,Tri thức ẩn trong tổ chức được biến thành tri thức hiện để tạo ra nhiều quy trình chuẩn.,Lợi thế cạnh tranh khó duy trì vì đối thủ có thể dễ dàng bắt chước chính sách lãi suất.  ◄ Q & A - Nhóm 6 Chuyển tới...,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,2,Làm thế nào quản trị tri thức giúp nâng cao khả năng thích ứng quy trình trong bối cảnh thay đổi môi trường kinh doanh?,Hiệu quả chi phí được đảm bảo khi tri thức ẩn được loại bỏ khỏi các hoạt động hàng ngày.,Khả năng đổi mới quy trình nhờ khai thác tri thức từ nhân viên bán hàng. ,Quy trình trở nên ổn định nhờ áp dụng nghiêm ngặt các thủ tục quản lý chuẩn hóa.,Khả năng giám sát tự động các giao dịch để giảm thiểu sự can thiệp của con người.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,6,"Trong nghiên cứu của VHA (Veterans Health Administration), tác động quan trọng nhất của quản trị tri thức đối với tổ chức y tế là gì?",Đảm bảo toàn bộ chiến lược kinh doanh có thể quy đổi trực tiếp thành doanh thu.,Tăng sự phụ thuộc vào các nhà cung cấp bên ngoài để mở rộng tri thức.,Giúp nhân viên có động lực hơn nhờ khả năng tiếp cận giải pháp đã thử nghiệm. ,Giảm thiểu chi phí nhân sự thông qua việc tự động hóa toàn diện.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,10,"Nếu tổ chức không áp dụng quản trị tri thức trong phát triển sản phẩm, rủi ro lớn nhất là gì?",Tích hợp cơ sở dữ liệu khách hàng thành hệ thống ERP để tái sử dụng.,Đầu tư vào tự động hóa sản xuất nhằm giảm chi phí nguyên liệu.,Thu thập tri thức từ video ethnography để thiết kế lại sản phẩm văn phòng. ,Chuẩn hóa thiết kế nội thất văn phòng dựa trên dữ liệu thị trường toàn cầu.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,14,Một công ty điện tử muốn cải tiến sản phẩm gia dụng bằng quản trị tri thức. Đâu là cách tiếp cận thể hiện rõ nhất lợi thế của KM?,Tầm quan trọng của việc áp dụng trí tuệ nhân tạo để thay thế mọi quyết định quản trị.,Nguy cơ sai sót lớn xảy ra khi thông tin không được tích hợp và chia sẻ đầy đủ giữa các bên liên quan. ,Giá trị của việc số hóa tri thức hiện thành cơ sở dữ liệu thống nhất trong toàn ngành.,Sự cần thiết phải loại bỏ tri thức ẩn để tránh rủi ro trong các ngành công nghiệp nặng.,D,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,18,Quản trị tri thức có thể giúp giảm chi phí phát triển sản phẩm mới chủ yếu nhờ vào đâu?,Tăng lợi nhuận chủ yếu bằng cách giảm số lần phát hành sản phẩm mỗi năm.,Cải thiện hỗ trợ khách hàng nhờ cung cấp bản vá lỗi và giải pháp trực tuyến sẵn có. ,Giảm thiểu rủi ro bằng cách hạn chế quyền truy cập của người dùng vào kho tri thức.,Chuẩn hóa dịch vụ bằng cách loại bỏ sự tham gia của khách hàng trong quá trình.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,22,Tại sao có thể nói rằng tác động của chia sẻ tri thức lên sự hài lòng trong công việc của nhân viên có quan hệ nhân quả hai chiều?,Giá trị thị trường cổ phiếu tăng lên nhờ các báo cáo tài chính minh bạch.,Mối quan hệ đối tác dài hạn được tăng cường nhờ cam kết chia sẻ tri thức.,Doanh thu tăng hàng triệu USD đến từ việc sử dụng hệ thống tri thức. ,Uy tín ngành được củng cố nhờ vai trò dẫn đầu trong công bố đổi mới.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,26,Một trong những cách quản trị tri thức thúc đẩy đổi mới quy trình (process innovation) là gì?,Đảm bảo tri thức hiện được chuyển đổi thành báo cáo định kỳ nhằm phục vụ đánh giá hiệu suất.,Tích hợp toàn bộ quy trình làm việc thành cơ sở dữ liệu thống nhất để dễ dàng truy xuất.,Giúp nhân viên học tập liên tục và nâng cao năng lực thích ứng với sự thay đổi.,Khả năng gắn kết các nhóm phân tán địa lý để học hỏi lẫn nhau và chia sẻ kinh nghiệm. ,,Sai
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,30,"Trong ngành tư vấn và phát triển phần mềm, tại sao quản trị tri thức được xem là nền tảng sống còn?",Kinh nghiệm đấu thầu độc nhất giúp hình thành rào cản tri thức khó sao chép. ,Xây dựng mạng lưới đối tác toàn cầu nhằm mở rộng quy mô kinh doanh.,Đầu tư mạnh vào hệ thống ERP nhằm kiểm soát toàn bộ chuỗi cung ứng.,Khả năng chuẩn hóa hợp đồng thuê thành mô-đun tri thức để tái sử dụng.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,34,Tác động trực tiếp của quản trị tri thức lên hiệu quả tổ chức có thể đo lường rõ nhất thông qua yếu tố nào?,"Hoạt động kết nối trực tiếp tại các buổi gặp mặt, nơi tri thức ẩn được chia sẻ. ",Việc chuẩn hóa toàn bộ tài liệu quy trình để chuyển đổi tri thức ẩn thành tri thức hiện.,Việc áp dụng cơ chế nội hóa để biến tri thức hiện thành kỹ năng cá nhân mà không cần xã hội hóa.,Sự thay thế của cộng đồng tự phát bằng các hệ thống ERP và MIS chính thức.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,38,Đâu là minh chứng rõ ràng nhất cho vai trò của tri thức ẩn trong lợi thế cạnh tranh?,Khả năng mở rộng dịch vụ tín dụng sang nhiều quốc gia với chi phí tối thiểu.,Quyết định cho vay gần như ngay lập tức dựa trên quy tắc được tự động hóa. ,Việc đào tạo nhân viên thành chuyên gia phân tích định tính thay thế công nghệ.,Xây dựng mạng lưới chi nhánh vật lý rộng khắp để xử lý hồ sơ vay nhanh hơn.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,42,Phát biểu của Chủ tịch Chevron về quản trị tri thức minh họa điều gì?,Tập trung vào hiệu quả chi phí thông qua giảm thiểu tri thức ẩn trong hệ thống y tế.,Tăng cường tính ổn định của quy trình bằng cách áp dụng thủ tục chuẩn hóa nghiêm ngặt.,Loại bỏ nhu cầu cải tiến quy trình vì tổ chức đã đạt được chuẩn mực ngành cao nhất.,"Thúc đẩy đổi mới quy trình bằng cách phá bỏ rào cản tổ chức, giảm quan liêu và hợp tác bên ngoài. ",,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,45,"Sản phẩm gia tăng giá trị tập trung vào tiết kiệm chi phí, còn sản phẩm dựa trên tri thức tập trung vào dữ liệu.","Giúp nhân viên biến tri thức ẩn thành tri thức hiện để lưu giữ và tái sử dụng, đồng thời chuyển hóa tri thức hiện thành kinh nghiệm ẩn cho những người khác. ",Đảm bảo toàn bộ tri thức hiện trong tổ chức đều được chuyển thành dữ liệu số và loại bỏ tri thức ẩn để tránh rủi ro thất thoát.,Thúc đẩy tổ chức chuẩn hóa quy trình vận hành và tách biệt hoàn toàn tri thức ẩn với tri thức hiện để dễ quản lý.,Tạo điều kiện để nhân viên giảm thiểu chi phí học tập bằng cách tái sử dụng tài liệu chính thức thay vì tham gia các hoạt động xã hội.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,49,Khả năng thích ứng của nhân viên tăng lên nhờ quản trị tri thức chủ yếu vì lý do nào?,Khó có thể đo lường một cách cụ thể. ,Được xem là ít ảnh hưởng hơn đối với uy tín và thương hiệu tổ chức.,Luôn dẫn đến chi phí tăng cao hơn so với tác động trực tiếp.,Không thể áp dụng cho các tổ chức dịch vụ vốn dựa nhiều vào tri thức.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,53,"Khi thiếu KM, tác động lớn nhất đối với quy trình tổ chức là gì?",Không để mất đi nguồn tri thức quan trọng của nhân viên. ,Loại bỏ chi phí nghiên cứu phát triển sản phẩm mới trong dài hạn.,Tăng tỷ lệ đổi mới sáng chế so với các công ty cùng ngành.,Chuẩn hóa toàn bộ tri thức thành hệ thống ERP tích hợp.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,57,Tri thức chỉ có giá trị khi gắn với quy trình sản xuất hàng loạt ổn định.,Khả năng loại bỏ hoàn toàn sai sót kỹ thuật trong chuỗi cung ứng lốp xe và ô tô.,Tiết kiệm hàng trăm triệu USD từ việc áp dụng các giải pháp cải tiến quy trình. ,Việc triển khai đồng loạt hệ thống ERP tại tất cả nhà máy để chuẩn hóa vận hành.,Tỷ lệ nhân sự rời bỏ giảm đáng kể nhờ quy trình đào tạo chuẩn hóa toàn cầu.,,Đúng
Chapter 5 - Mini Test_ Xem lại lần làm thử.txt,60,"Mối quan hệ giữa tri thức, giá trị thị trường lao động và sự hài lòng công việc của nhân viên có thể mô tả thế nào?",Họ cảm thấy tài năng của mình không được khai thác và phát huy đầy đủ. ,Họ muốn chuyển toàn bộ tri thức ẩn thành tri thức hiện để công bố ra bên ngoài.,Họ được khuyến khích áp dụng thủ tục chuẩn thay vì đóng góp ý tưởng sáng tạo.,Họ bị hạn chế tham gia vào các cộng đồng thực hành và diễn đàn nội bộ. ◄ Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn GET SOCIAL    ,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,2,Hệ thống hỗ trợ quyết định dựa trên phân tích dữ liệu phức tạp.,Vì AI thay thế hoàn toàn các cơ chế tổ chức trong quản trị tri thức.,Vì AI tạo điều kiện để tự động hóa quá trình thu giữ tri thức từ cộng đồng.,Vì AI giúp mô phỏng suy nghĩ của con người và hỗ trợ quyết định nhanh chóng. ,Vì AI loại bỏ nhu cầu sử dụng bất kỳ công nghệ nào khác trong doanh nghiệp.,,Đúng
Chapter 6 - Mini Test_ Xem lại lần làm thử.txt,6,"Khi một hệ thống AI được thiết kế để hành động giống con người, điều gì được nhấn mạnh?",Giúp nhân viên liên bang tập trung vào hỗ trợ chuyên sâu thay vì sàng lọc sơ bộ. ,Thay thế hoàn toàn các cộng đồng thực hành trong việc lan tỏa tri thức.,Đảm bảo tất cả doanh nghiệp nhỏ đều có quyền nhận hỗ trợ vốn ban đầu.,Ngăn chặn sự xuất hiện của các ứng viên không đủ điều kiện tham gia thị trường.,,Đúng
